Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_full_,0.01695976975207541,0.012738903072665949,0.02318989702430158,0.028533486834275812,0.017639179668218388,0.025975986113777518,0.024494562558988724,0.04140991110203177,0.021496227498827982
ESMFold_esm2_t33_650M_UR50D_attention1d_5e-4_full_,0.010640972126477674,0.006069586104605563,0.02279054179938638,0.013570041816832343,0.01117891494859223,0.013122996842148571,0.009080350482833151,0.029498104090296014,0.0335531504428702
