Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
Vaxi-DL,0.016973544298064604,0.019952322058079022,0.02057595619587777,0.012770369867069958,0.017794692521968785,0.03713999626057508,0.026165580403731424,0.038112840126100396,0.0
VaxiJen2.0,0.012054499204036395,0.013929297212937253,0.02143124714327601,0.009123982423213032,0.013572898202966562,0.02257053116165268,0.021542101545366354,0.005124178714445069,0.0
VaxiJen3.0,0.009502195527856116,0.017831316077179596,0.023073729104848215,0.005985577529071494,0.01710415270521901,0.02023043915313902,0.018270091165159714,0.336176582134466,0.015182251843561015
VirusImmu,0.012000201173786966,0.012144469890404847,0.017870694569318314,0.016520296780800022,0.013098173653065192,0.025061697669668093,0.02918904914898644,0.015989945301014618,0.0
