Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
Vaxi-DL,0.7050556625677078,0.6755364806866953,0.5586996886226461,0.8432125872758778,0.671646377961588,0.40820455772145525,0.5094793958474386,0.8125068461973848,0.002898550724637681
VaxiJen2.0,0.7827613600530319,0.7562231759656652,0.614448019999156,0.8783393681360587,0.7226286529946611,0.5437081723324708,0.5951009223058145,0.6725350420957769,0.0
VaxiJen3.0,0.844453011401973,0.8678111587982832,0.8631916402480065,0.7578644593078854,0.8065690374664103,0.7105489523738906,0.6925024303105956,1.948437075178974,0.5927536231884056
