Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
Vaxi-DL,0.6378287904306043,0.6481182795698924,0.6108774037828836,0.8907768480501816,0.7246317506581923,0.3216179625298857,0.2936771004385364,0.9077751279318141,0.0
VaxiJen2.0,0.8119457093467066,0.8158602150537634,0.7549327430253846,0.9508781833003607,0.8414576510637038,0.6528653729663425,0.6545825581448084,0.6061563901615641,0.0
VaxiJen3.0,0.67521594866713,0.6827956989247312,0.6246961696303615,0.958128861453463,0.7560409588067649,0.4282068608608559,0.553355312406367,7.330207477156482,0.9405405405405405
VirusImmu,0.5935129641447202,0.5975806451612904,0.5893614317567144,0.7255421018313882,0.6501819007724929,0.1940966935165958,0.2711938539297282,0.7049758087223353,0.0
