Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
Vaxi-DL,0.01702947793369398,0.020057204198365527,0.02782774357972894,0.02215840829726092,0.022480809366594585,0.03408718110373806,0.05072983897177234,0.04926604173036638,0.005797101449275362
VaxiJen2.0,0.01055317397488478,0.011955698092003515,0.02456143708828908,0.017477942585411303,0.016572416816912156,0.020315659849625658,0.017099036700383062,0.07986042259558855,0.0
VaxiJen3.0,0.020599128447885123,0.01735944070056368,0.03232422871445787,0.03664684377332653,0.028271159789297853,0.03881643591068424,0.03969908833021655,0.2437572267511053,0.04997373811468597
